date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2019-03-18,54.62260437011719,46.29945373535156,62.71690368652344,26.49301528930664,73.62832641601562,72.57829284667969,53.606781005859375,34.395240783691406,56.62728118896485,90.1192626953125,110.55387115478516
2019-03-19,54.553749084472656,46.37890625,62.54694366455078,26.286191940307617,73.36224365234375,72.72681427001953,53.56764221191406,34.29774856567383,55.98257064819336,90.83551788330078,111.1082763671875
2019-03-20,54.50456619262695,46.796016693115234,63.094608306884766,25.74451065063477,72.85962677001953,72.5287857055664,53.342567443847656,34.4537353515625,56.129093170166016,90.20758056640624,111.26667022705078
2019-03-21,55.084930419921875,47.41175842285156,63.53839492797851,25.66572380065918,73.55934143066406,74.35066223144531,53.9688606262207,35.06793212890625,56.7249641418457,90.56079864501952,112.79127502441406
2019-03-22,53.44221878051758,46.64705276489258,61.81986618041992,24.95661735534668,71.89380645751953,72.59809875488281,53.90036392211914,34.90219497680664,57.13523864746094,88.9124526977539,110.55387115478516
2019-03-25,53.343849182128906,46.567596435546875,61.848201751708984,24.84828186035156,72.06136322021484,72.28125,54.00800323486328,34.93144989013672,57.184078216552734,88.86339569091797,111.207275390625
2019-03-26,53.668460845947266,46.796016693115234,62.73579025268555,25.14374351501465,72.54425811767578,72.67731475830078,54.46794128417969,35.14592742919922,57.5943489074707,89.47171783447266,111.68247985839844
2019-03-27,53.59960174560547,46.458351135253906,62.291996002197266,25.0354061126709,72.62310028076172,72.2614517211914,54.28200912475586,35.02893829345703,57.19384765625,88.72603607177734,111.45478057861328
2019-03-28,54.120941162109375,46.3491096496582,62.528053283691406,25.252077102661133,73.15528106689453,72.55848693847656,54.54622650146485,35.321414947509766,56.51982879638672,88.95170593261719,112.12798309326172
2019-03-29,54.59309768676758,46.44842147827149,62.433631896972656,25.32101821899414,73.9437026977539,73.27140045166016,54.908302307128906,35.31166458129883,56.82264709472656,90.02114868164062,112.71208190917967
2019-04-01,55.4095344543457,47.153541564941406,63.255123138427734,25.94148826599121,75.47126770019531,74.27145385742188,54.72236633300781,35.20442199707031,56.43191146850586,90.15852355957033,113.9495849609375
2019-04-02,55.59642791748047,47.401824951171875,62.82076644897461,25.921789169311523,75.44169616699219,74.52890014648438,54.272220611572266,35.506649017333984,56.51005935668945,89.95247650146484,113.9297866821289
2019-04-03,56.32433319091797,47.580589294433594,62.21644973754883,26.000579833984375,75.21501922607422,75.13288879394531,54.00800323486328,35.4676513671875,56.42214584350586,89.83473205566406,114.731689453125
2019-04-04,56.89485931396485,47.84872817993164,62.73579025268555,26.158159255981445,75.67821502685547,74.8160400390625,54.21350860595703,35.36041259765625,56.22677993774414,89.64832305908203,115.66230010986328
2019-04-05,56.87518310546875,47.98776626586914,63.840553283691406,26.197553634643555,75.89503479003906,75.17249298095703,54.399436950683594,35.633384704589844,56.7542724609375,90.26644134521484,116.34540557861328
2019-04-08,56.89485931396485,47.89838790893555,64.12384033203125,26.22709846496582,75.56981658935547,75.45964050292969,54.62451171875,35.45790481567383,56.353763580322266,90.246826171875,116.7612075805664
2019-04-09,56.48172378540039,48.027488708496094,63.340110778808594,26.01042938232422,74.54486846923828,75.10317993164062,54.55601119995117,35.35066223144531,56.49052810668945,90.01134490966797,115.7117919921875
2019-04-10,56.45221328735352,48.236045837402344,63.576175689697266,26.08921813964844,74.52516174316406,75.62796020507812,54.71258544921875,35.633384704589844,56.314697265625,90.04077911376953,116.26620483398438
2019-04-11,56.42270278930664,48.26584243774414,63.623382568359375,26.246797561645508,75.1657485961914,75.52894592285156,54.82022857666016,35.58464431762695,56.59797286987305,88.93207550048828,116.4146957397461
2019-04-12,57.170284271240234,48.682952880859375,63.7933464050293,26.72938346862793,76.16112518310547,76.05372619628906,54.996376037597656,35.77962875366211,56.86172103881836,88.11770629882812,117.1374053955078
